"id","title","referenced_id","referenced_class"
1,abaca  (manilla hemp),"5305",Heading
2,abaci (abacus),"9503",Heading
3,"abscess needles, dental","9018",Heading
4,abietic acid,"3806",Heading
5,abrasive on a vase of paper or fabric ,"6805",Heading
6,"abrasives, natural","2513",Heading
7,absolutes (essential oils),"3301",Heading
8,absorbers ,"8418",Heading
9,absorption meters,"9027",Heading
10,"absorption drums, of glass","7020",Heading
11,accelerators - particle,"8543",Heading
12,accelerators - particle,"9022",Heading
13,accelerators - reaction,"3815",Heading
14,accelerators - rubber,"3812",Heading
15,accordions,"9204",Heading
16,account books,"4820",Heading
17,accounting machines,"8470",Heading
18,accumulator sludge,"2620",Heading
19,accumulator preparations based on cadmium oxide or nickel hydroxide,"3824",Heading
20,accumulators (rechargeable batteries),"8507",Heading
21,acetate pulp (wood pulp),"4702",Heading
22,acetates,"2915",Heading
23,acetic acid - aqueous solutions,"2209",Heading
24,acetic acid - aqueous solutions,"2915",Heading
25,acetic acid - heavy,"2845",Heading
26,acetic acid - esters,"2915",Heading
27,acetic acid - salts,"2915",Heading
28,acetic acid - acetylene black,"2803",Heading
29,acetic acid - acetylene gas generators,"8405",Heading
30,acetic acid - acetylalicylic acid (aspirin tablets),"3004",Heading
31,acids - alginic,"3913",Heading
32,"acids - fatty, chemically defined","2915",Heading
33,"acids - fatty, chemically defined","2916",Heading
34,"acids - fatty, industrial monocarboxylic","3823",Heading
35,acids - inorganic,"2806",Heading
36,acids - naphthentic,"3824",Heading
37,acids - organic,"2915",Heading
38,acids - organic,"2916",Heading
39,acids - organic,"2917",Heading
40,acids - organic,"2918",Heading
41,acids - resin,"3806",Heading
42,acid oil,"3823",Heading
43,"acid, oleic, crude","3823",Heading
44,acidimeters - for acid etc,"9025",Heading
45,"acidimeters - for dairy products, of glass","7017",Heading
46,acidimeters - acids - alinic,"3913",Heading
47,acorns,"2308",Heading
48,acrylic polymers,"3906",Heading
49,acrylonitrile,"2926",Heading
50,acarylonitrile - butadiene - styrene (abs),"3906",Heading
51,activated carbon,"3802",Heading
52,activated minerals,"3802",Heading
53,actuators,"8501",Heading
54,acupuncture needles,"9018",Heading
55,adapters - local area networks,"8517",Heading
56,adapters - mobile phones,"8504",Heading
57,adapters - switching,"8536",Heading
58,adapters - wide area networks,"8517",Heading
59,"additives for mineral oils, prepared","3811",Heading
60,"additives, cement waterproofing","3824",Heading
61,address books,"4820",Heading
62,addressing machines,"8472",Heading
63,"adhesive plasters, bandages and dressings","3005",Heading
64,"adhesive tape - of plastics, self-adhesive","3919",Heading
65,adhesive tape - of plastic non self-adhesive,"3920",Heading
66,adhesive tape - of plastic non self-adhesive,"3921",Heading
67,adhesive tape - rubberised textile,"5906",Heading
68,adjustable spanners,"8204",Heading
69,advent calendars,"9505",Heading
70,advertising materials - advertising or instructional film,"3706",Heading
71,"advertising material - blackboards, and notice boards (free standing)","9610",Heading
72,advertising materials - book matches,"3606",Heading
73,advertising materials - cassettes,"8523",Heading
74,advertising materials - cigarette lighter,"9613",Heading
75,advertising materials - diaries,"4820",Heading
76,"advertising materials - display stands, floor standing","9403",Heading
77,advertising materials - drawing chalk and charcoals,"9609",Heading
78,advertising materials - drawing instruments,"9017",Heading
79,advertising materials - metal badges,"7117",Heading
80,advertising materials - pens and pencils,"9608",Heading
81,advertising materials - pens and pencils,"9609",Heading
82,advertising materials - printed matter,"4909",Heading
83,adzes,"8201",Heading
84,aerated waters,"2201",Heading
85,"aerated waters, flavoured or sweetened","2202",Heading
86,aerating machinery (beverages),"8422",Heading
87,"aerators, lawn","8432",Heading
88,aerial filters and separators,"8517",Heading
89,aerial filters and separators,"8529",Heading
90,aerial transports (telphers),"8428",Heading
91,aerials,"8517",Heading
92,aerials,"8529",Heading
93,aeroplanes,"8802",Heading
94,aerosol therapy apparatus,"9019",Heading
95,after-shave and pre-shave lotions,"3307",Heading
96,agar-agar,"1302",Heading
97,"agave fibres, not spun","5305",Heading
98,agglomerated dolomite,"2518",Heading
99,"agglomerated slate, worked and articles thereof","6803",Heading
100,agglomerating machinery,"8474",Heading
101,agglomerating machinery,"8479",Heading
102,agitators (textile machines),"8448",Heading
103,agricultural machinery,"8432",Heading
104,agricultural machinery,"8436",Heading
105,agricultural machinery for soil preparation or cultivation,"8432",Heading
106,"agricultural machinery, other","8433",Heading
107,"agricultural machinery, other","8436",Heading
108,"agricultural machinery, other","8437",Heading
109,agricultural hand tools,"8201",Heading
110,agricultural tractor engines,"8408",Heading
111,agricultural tractors,"8701",Heading
112,agricultural trailers and parts,"8716",Heading
113,ailerons,"8803",Heading
114,"air heaters, non-electric, iron or steel","7322",Heading
115,air pre-heaters for boilers,"8404",Heading
116,air pumps and compressors,"8414",Heading
117,air rifles and air pistols,"9304",Heading
118,air conditioning machinery,"8415",Heading
119,"air, liquid compressed","2853",Heading
120,airbeds of rubberised textile fabric,"6306",Heading
121,aircraft,"8802",Heading
122,aircraft jet and gas turbine engines,"8411",Heading
123,aircraft launching gear,"8805",Heading
124,aircraft parts - jet and gas turbines,"8411",Heading
125,aircraft parts - pistons,"8407",Heading
126,aircraft parts - pistons,"8408",Heading
127,aircraft parts - other (but see section xiii notes ) ,"8803",Heading
128,aircraft parts - aircraft piston engines (uses) ,"8409",Heading
129,airers,"8516",Heading
130,airships,"8801",Heading
131,"alabaster, crude","2515",Heading
132,"alabaster, worked and articles thereof","6802",Heading
133,alarm clocks - with watch movements,"9103",Heading
134,alarm clocks - other than with watch movements,"9105",Heading
135,alarms - burglar,"8531",Heading
136,alarms - fire,"8531",Heading
137,alarms - fire,"9027",Heading
138,alarms - flame,"8531",Heading
139,alarms - flame,"8536",Heading
140,alarms - flame,"9027",Heading
141,alarms - gas,"8531",Heading
142,alarms - gas,"9027",Heading
143,alarms - gas,"9031",Heading
144,alarms - smoke,"8531",Heading
145,alarms - smoke,"9022",Heading
146,alarms - smoke,"9027",Heading
147,albardin grass,"1404",Heading
148,"albumins, albuminates and other albumin derivatives","3502",Heading
149,albums,"4820",Heading
150,alcohol - acyclic,"2905",Heading
151,alcohol - cyclic,"2903",Heading
152,"alcohol - fatty, chemically defined","2905",Heading
153,"alcohol - fatty, industrial","3823",Heading
154,aldehyde acids,"2918",Heading
155,aldehyde - function compounds,"2912",Heading
156,aldehyde - function compounds,"2913",Heading
157,alfalfa (lucerne) seed,"1209",Heading
158,algae,"1212",Heading
159,algae,"2102",Heading
160,algae,"3006",Heading
161,alkali or alkaline - earth ~metals,"2805",Heading
162,alkaline iron oxide (for gas purification),"3824",Heading
163,"alkalois, vegetable","2939",Heading
164,alkyd resins,"3907",Heading
165,alkyl phenol ethoxylates,"3402",Heading
166,alkylbenzenes,"2707",Heading
167,alkylbenzenes,"2902",Heading
168,alkylbenzenes,"3817",Heading
169,alkylnaphthalenes,"2707",Heading
170,alkylnaphthalenes,"2902",Heading
171,alkylnaphthalenes,"3817",Heading
172,allergy testing devices,"9031",Heading
173,alloys,"15",Section
174,allspice - dried,"0904",Heading
175,allspice - fresh,"0709",Heading
176,all terrain vehicles (atv),"8701",Heading
177,all terrain vehicles (atv),"8703",Heading
178,alluvium,"2530",Heading
179,almond nuts - fresh or dried,"0802",Heading
180,almond nuts - roasted or salted,"2008",Heading
181,alpaca hair - not carded or combed,"5102",Heading
182,alpaca hair - carded or combed,"5105",Heading
183,alsike seed,"1209",Heading
184,altars,"9403",Heading
185,altimeters - navigational,"9014",Heading
186,altimeters - barometric,"9025",Heading
187,altimeters - radio,"8526",Heading
188,alternators,"8511",Heading
189,aluminates,"2841",Heading
190,aluminium oxide,"2818",Heading
191,aluminium paste,"3212",Heading
192,articles of aluminium not elsewhere specified or included,"7616",Heading
193,aluminium bars rods and profiles,"7604",Heading
194,"aluminium calcium phosphates, natural","2510",Heading
195,"aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any materials (other than compressed or liquefied gas) of a capacity not exceeding 300 litres","7612",Heading
196,aluminium containers for compress or liquefied gas,"7613",Heading
197,aluminium foil of a thickness (excluding any backing) not exceeding 0.2mm,"7607",Heading
198,aluminium hydroxide,"2818",Heading
199,aluminium ores and concentrates,"2606",Heading
200,aluminium oxide,"2818",Heading
201,aluminium plates sheets and strips of a thickness exceeding 0.2mm,"7606",Heading
202,"aluminium pot scourers and scouring or polishing pads, gloves and the like","7615",Heading
203,aluminium powders and flakes,"7603",Heading
204,"aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres","7611",Heading
205,aluminium sanitary ware and parts thereof,"7615",Heading
206,"aluminium stranded wire, cable, plaited bands and the like, not electrically insulated","7614",Heading
207,aluminium structures (excluding prefabricated buildings see 94.06) and parts of structures,"7610",Heading
208,"aluminium table, kitchen or other household articles and parts thereof","7615",Heading
209,aluminium tubes or pipe fittings,"7609",Heading
210,aluminium tubes and pipes,"7608",Heading
211,aluminium unwrought,"7601",Heading
212,aluminium waste and scrap,"7602",Heading
213,aluminium wire,"7605",Heading
214,alums,"2833",Heading
215,amalgams - of precious metals,"2843",Heading
216,amalgams -other,"2851",Heading
217,amaryllis,"0601",Heading
218,"ambarihemp, not spun","0503",Heading
219,"amber, crude","2530",Heading
220,"amber, worked","9602",Heading
221,ambergis,"0510",Heading
222,ambulances - motor,"8703",Heading
223,ambulances - railway,"8605",Heading
224,amino-resins,"3909",Heading
225,ammeters,"9030",Heading
226,"ammeters, parts","9030",Heading
227,"ammeters, parts","9033",Heading
228,ammonia,"2814",Heading
229,ammonical gas liquors,"3824",Heading
230,ammonium zinc chloride,"2842",Heading
231,ammonium nitrate,"3102",Heading
232,ammonium phosphates,"2835",Heading
233,ammonium phosphates,"3105",Heading
234,ammonium sulphonitrates,"3102",Heading
235,ammunition,"9306",Heading
236,amperemeters,"9030",Heading
237,amphibious vehicles - aircraft,"8802",Heading
238,amphibious vehicles - motor,"8703",Heading
